apm_code,nombre,estado,lifecycle_status,clase_aplicacion,tipo_de_aplicacion,icr_relevant,data_protection_relevant
AP04761.90, Enel X GLobal-- Finance - TRCM,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP36469, GDS Recharge Tool,Active,Production,Business Analytics,Custom (developed from the scratch),false,false
AP04919.22,.0E4E I&N SAP ECC (DIP) 010 -- TR,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,false
IT06321,1ST,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP04117,2BEAT- PERU,Active,Validated,Business Transactional,Custom (developed from the scratch),false,false
AP04116,2BEAT-COLOMBIA,Active,Validated,Technical infrastructures,Custom (developed from the scratch),false,false
AP04024.01,2BEAT-IoT-ITALY,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP04024,2BEAT-ITALY,Active,Production,Business Analytics,Custom (developed from the scratch),false,true
AP35151,2BEAT-PRODUCT,Active,Validated,Technical infrastructures,Custom (developed from the scratch),false,false
AP11753,3D SIMULATOR,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP36564,3SUN  Gigafactory CRM,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP36855,3SUN Archive,In Review,Definition,,,false,false
AP36377,3Sun Gigafactory Website,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP36151,4asset,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP35116,5PPA,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP35116.01,5PPA mobile,Active,Validated,Business Transactional,Custom (developed from the scratch),false,false
AP36737,5RO-EPP,Active,Validated,Power APP,Custom (developed from the scratch),false,false
AP05837.08,5RO_Argentina,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP05837.03,5RO_Brasil,Active,Production,Technical infrastructures,Custom (developed from the scratch),false,false
AP05837.01,5RO_Brasil_CE,Active,Decommissioning,Business Transactional,Custom (developed from the scratch),false,true
AP05837.02,5RO_Brasil_RJ,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
AP05837.04,5RO_Brasil_SP,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
AP05837.06,5RO_Chile,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP05837.09,5RO_Colombia,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
AP05461,5RO_IBERIA,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
AP35521,5RO_ITALY,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
AP05837.07,5RO_Peru,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP23151,5RO_ROMANIA,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
AP23151.01,5RO_ROMANIA Mobile,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP05837,5RO_SOUTH AMERICA,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
IT00162,770 consolidato,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP36167,A.I. - SNow Sol. x automatic Sod Rel. ,Active,Production,Technical infrastructures,Custom (developed from the scratch),false,false
AP36826,ABB 800xa,Active,Validated,ICS-OT,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP31517,ABB SUBSTATION SCADA SYSTEM - EGP ROMANIA,Active,Production,ICS-OT,COTS (Commercial Off-The-Shelf NOT customized),false,false
IT00285,Abbonamenti,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP36615,Accestage AFC Brasil,Active,Validated,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP03916.01,ActionNET CEARA BRAZIL,Active,Production,ICS-OT,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP03919.01,ActionNET RIO BRAZIL,Active,Validated,ICS-OT,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP36850,Actividades de Mantenimiento-GT,Active,Validated,Power APP,Custom (developed from the scratch),false,false
DD00090,Actual Financial,In Review,Definition,,,false,false
IT00012,AD,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
AP04856,ADELE,Active,Production,Business Transactional,Custom (developed from the scratch),true,true
AP06952.05,ADFS,Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP06916,Administración Paramétricas SSCC,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP04328,ADMINISTRADOR DE LECTURAS PERU,Active,Production,Business Transactional,Custom (developed from the scratch),true,true
AP36276,Administradores de Finca (Web),Active,Validated,Business Transactional,Custom (developed from the scratch),false,false
DD00096,Administration DEA KPI,In Review,Definition,Technical infrastructures,Custom (developed from the scratch),false,false
AP18152,ADMS Italia,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP18152.C5,ADMS-ITA_Bari,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP18152.B2,ADMS-ITA_Bologna,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP18152.D1,ADMS-ITA_Cagliari,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP18152.C7,ADMS-ITA_Catanzaro,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP18152.B3,ADMS-ITA_Firenze,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP18152.B6,ADMS-ITA_L'Aquila,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP18152.B9,ADMS-ITA_Latina,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP18152.A1,ADMS-ITA_Milano,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP18152.C2,ADMS-ITA_Napoli,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP18152.C8,ADMS-ITA_Palermo,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP18152.A2,ADMS-ITA_Torino,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP18152.A6,ADMS-ITA_Venezia,Active,Production,ICS-OT,Custom (developed from the scratch),false,false
AP17551,ADN SPAIN,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
DD00045,Adoption Data,In Review,Definition,,,false,false
SO00211,Adoption Support Platform - COSDH,Active,Production,Technical infrastructures,Custom (developed from the scratch),false,false
AP35064,ADP - Enel North America,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),true,false
AP35064.01,ADP - Enel North America - Android Mobile App,Active,Validated,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP35064.02,ADP - Enel North America - IOS Mobile App,Active,Validated,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
