apm_code,country
AP04761.90,United States of America
AP04761.90,United Kingdom
AP04761.90,India
AP04761.90,Brazil
AP04761.90,Ireland
AP04761.90,Poland
AP04761.90,Australia
AP04761.90,New Zealand
AP04761.90,South Africa
AP36469,Global
AP04919.22,Italy
AP04919.22,Spain
AP04919.22,Colombia
AP04919.22,Brazil
AP04919.22,Romania
AP04919.22,Chile
AP04919.22,Argentina
AP04919.22,Peru
IT06321,Italy
AP04117,Peru
AP04116,Colombia
AP04024.01,Italy
AP04024,Italy
AP35151,Global
AP11753,Chile
AP36564,Italy
AP36855,Italy
AP36377,Global
AP36151,Brazil
AP35116,Spain
AP35116.01,Spain
AP36737,Peru
AP05837.08,Argentina
AP05837.03,Brazil
AP05837.01,Brazil
AP05837.02,Brazil
AP05837.04,Brazil
AP05837.06,Chile
AP05837.09,Colombia
AP05461,Spain
AP35521,Italy
AP05837.07,Peru
AP23151,Romania
AP23151.01,Romania
AP05837,Argentina
AP05837,Brazil
AP05837,Chile
AP05837,Colombia
AP05837,Peru
IT00162,Italy
AP36167,Global
AP36826,Global
AP31517,Romania
IT00285,Italy
AP36615,Brazil
AP03916.01,Brazil
AP03919.01,Brazil
AP36850,Guatemala
DD00090,Global
IT00012,Italy
AP04856,Italy
AP06952.05,Global
AP06916,Spain
AP04328,Peru
AP36276,Spain
DD00096,Global
AP18152,Italy
AP18152.C5,Italy
AP18152.B2,Italy
AP18152.D1,Italy
AP18152.C7,Italy
AP18152.B3,Italy
AP18152.B6,Italy
AP18152.B9,Italy
AP18152.A1,Italy
AP18152.C2,Italy
AP18152.C8,Italy
AP18152.A2,Italy
AP18152.A6,Italy
AP17551,Spain
DD00045,Global
SO00211,Global
AP35064,Canada
AP35064,USA
AP35064,United States of America
AP35064.01,Canada
AP35064.01,United States of America
AP35064.01,USA
AP35064.02,Canada
AP35064.02,United States of America
AP35064.02,USA
AP35890,Canada
AP10371.05,Italy
AP31835,Global
SO00229,Global
AP09432.04,Global
AP35869,Global
AP35869.02,Global
AP35869.06,Global
AP35869.03,Global
AP35869.01,Global
AP35869.04,Global
AP35869.05,Global
AP35869.10,Global
AP35869.08,Global
AP35869.07,Global
AP35869.09,Global
AP35511,Global
SO00219,Global
DD00061,Global
AP04761.K3,Romania
AP07234,Global
AP07234.11,South Africa
AP07234.17,Global
AP07234.12,Global
AP07234.01,Brazil
AP07234.01,Uruguay
AP07234.14,Global
AP07234.16,Colombia
AP07234.07,Global
AP07234.04,Bulgaria
AP07234.05,Germany
AP07234.03,Greece
AP07234.13,Global
AP07234.18,Italy
AP07234.06,Global
AP07234.15,Global
AP07234.09,Romania
AP07234.02,Global
AP07234.10,United States of America
AP07234.10,Canada
AP07234.10,USA
AP07234.19,Italy
AP05703,Global
AP35608,Global
AP09432.01,Global
AP35819,Global
AP36605,Global
AP02212,Spain
AP05914,Argentina
AP36577,Brazil
AP36577,Colombia
AP36577,Italy
SO00135,Global
AP32452.02,Global
AP35783,Global
AP35566,Global
AP02221.01,Spain
IT05941,Spain
AP02221,Spain
AP36563,Spain
AP36754,Global
AP05200.01,Spain
AP05200.01,Italy
SO00075,Italy
IT05725,Spain
AP36786,Brazil
IT04941,Italy
IT04941,Spain
IT04941,Chile
IT04941,Colombia
IT04941.10,Chile
IT04941.05,Colombia
IT04941.02,Spain
IT04941.01,Italy
IT04941.01,Spain
IT04941.01,Chile
IT04941.01,Colombia
IT04941.01,Brazil
IT04941.01,Argentina
IT04941.01,Peru
IT04941.18,Romania
IT04941.13,Romania
IT04941.07,Italy
IT04941.16,Italy
IT04941.16,Spain
IT04941.16,Chile
IT04941.16,Colombia
IT04941.16,Brazil
IT04941.11,Italy
IT04941.11,Spain
IT04941.11,Chile
IT04941.11,Colombia
IT04941.11,Brazil
IT04941.08,Italy
IT04941.08,Spain
IT04941.08,Chile
IT04941.08,Colombia
IT04941.08,Brazil
IT04941.12,Italy
IT04941.12,Spain
IT04941.12,Chile
IT04941.12,Colombia
IT04941.12,Brazil
IT04941.06,USA
IT04941.09,Italy
IT04941.09,Spain
IT04941.09,Chile
IT04941.09,Colombia
IT04941.09,Brazil
IT04941.04,Italy
IT04941.04,Spain
IT04941.04,Chile
IT04941.04,Colombia
IT04941.04,Brazil
AP15911,Italy
AP36711,Spain
AP36811,Global
AP36144,Global
IT05942,Colombia
AP35050,Colombia
AP36198,Peru
AP03869,Italy
AP22371,Global
SO00251,Global
IT01063,Italy
AP10771.03,Italy
AP36200.01,Global
AP36030.01,Argentina
AP35954.01,Brazil
AP35956.01,Chile
AP35973.01,Colombia
AP10771.02,Italy
AP35934.01,USA
AP35934.01,Canada
AP35934.01,United States of America
AP36200.02,Global
AP10771.01,Italy
AP35952.01,Mexico
AP36036.01,Peru
AP35953.01,Spain
AP36734,Guatemala
AP05083,Spain
AP36713,Spain
AP36169.06,Spain
AP36169.05,Spain
AP36169.04,Spain
AP02260.09,Spain
AP02260.08,Spain
AP05352.17,Italy
AP05352.18,Italy
AP05352.11,Italy
AP05352.10,Italy
AP36331,Global
AP36750,Global
AP03461,Spain
AP31991.07,Italy
AP02277,Spain
AP02277,Portugal
AP07332,Colombia
AP29811,Colombia
AP29811.03,Colombia
AP36722,Brazil
AP01769,Chile
AP05112,Spain
AP32174,Global
AP35035,Global
AP35035.01,Global
AP35035.02,Global
AP35035.03,Global
AP35035.04,Global
AP35035.05,Global
AP35035.06,Global
AP35035.07,Global
AP35035.08,Global
AP04394,Spain
AP32474,Peru
AP32474,Colombia
AP11191,Italy
IT06082.01,Portugal
IT06082.01,Spain
IT06082.02,Portugal
IT06082.02,Spain
AP35551,Italy
SO00233,Italy
SO00233.02,Italy
SO00233.01,Italy
AP31930.07,Brazil
AP31930.15,Brazil
AP31930.03,Chile
AP31930.11,Chile
AP31930.02,Colombia
AP31930.10,Colombia
AP31930,Colombia
AP31930,Brazil
AP31930,Chile
AP31930,Peru
AP31930.01,Peru
AP31930.09,Peru
AP31930.06,Brazil
AP31930.13,Brazil
AP31930.17,Brazil
AP31930.18,Brazil
AP15051,Global
AP15051.02,Global
AP15051.01,Global
AP18791,Colombia
AP18791.01,Colombia
SO00244,Colombia
SO00244,Panama
SO00244,Guatemala
SO00244,Costa Rica
AP06323,Spain
AP08454,Global
AP08454.01,Global
AP08454.02,Global
AP05275,Spain
AP01713,Argentina
AP04026.18,Italy
AP02110.01,Peru
AP19091,Spain
AP18591,Italy
AP04486,Global
AP04486.02,Global
AP04486.01,Global
AP19091.01,Spain
AP36765,France
AP35543,Global
AP05929,Brazil
AP36779,Italy
AP35969.04,Global
AP35752,Global
AP19671,Peru
AP25431,Brazil
AP25471,Brazil
AP36714,Chile
AP36206,Brazil
AP36206.01,Brazil
AP06511.03,Italy
AP06511.07,Italy
AP06511.07,Spain
AP06511.04,Italy
AP06511.06,Spain
AP06511.05,Spain
AP22631,United States of America
AP22631,Canada
AP22631,USA
AP35593,Global
AP22631.01,United States of America
AP22631.01,Canada
AP22631.01,USA
AP29091,United States of America
AP29091,USA
AP05119.04,Brazil
AP05119.05,Chile
AP05119.02,Colombia
AP05119,Chile
AP05119,Colombia
AP05119,Brazil
AP36189,Italy
IT03801.05,Italy
IT03801.04,Italy
IT03801.06,Italy
AP01856,Italy
AP36270,Spain
AP35709.05,Argentina
AP36323.01,Argentina
AP36312.17,Argentina
AP36312.16,Argentina
AP35527,Spain
AP35527.01,Spain
AP35527.02,Spain
AP36675,Colombia
AP01911,Romania
AP04026.01,Italy
AP04268.01,Italy
AP04364.05,Global
AP06319,Italy
AP35039,Brazil
AP36426,Italy
AP05772.04,Italy
AP04063,Peru
SO00221,Italy
DD00026,Global
AP36245,Italy
AP36591,Spain
AP35978,Brazil
AP35978.01,Brazil
AP07391,Global
AP36481,Italy
IT00013,Italy
IT00024,Italy
AP06072.02,Global
AP06072,Global
AP06072.01,Global
AP06072.03,Global
AP36000,Global
AP05058.04,Italy
AP05060.03,Romania
AP05058.05,Italy
AP05058.15,Italy
AP05060.07,Romania
AP05058.06,Italy
AP05058.07,Italy
AP05060.05,Romania
AP05058.02,Italy
AP05060.02,Romania
AP05058.03,Italy
AP05058,Italy
AP05058.16,Italy
AP05058.23,Italy
AP05058.26,Italy
AP05060.09,Romania
AP05060,Romania
AP05058.01,Italy
AP05060.01,Romania
AP05058.28,Italy
AP05060.13,Romania
AP05058.13,Italy
AP05060.06,Romania
AP05058.24,Italy
AP32312,Chile
AP35936,Peru
AP36263,United States of America
AP36323.02,Australia
AP30311,Spain
AP36526,Brazil
AP04030.01,Spain
AP36589,Global
AP06174.03,Global
AP36307,Global
AP06156,Global
AP06163.01,Global
AP36622,Global
AP35793,Peru
AP36580,Spain
AP36637,Brazil
AP36221,Global
AP35759,Global
AP36374,Global
AP35507.01,Global
AP35507.02,Global
AP35507.03,Global
AP35507,Global
AP35507.04,Global
DD00094,Global
AP36441,Italy
AP16431,Italy
AP36472.01,Global
AP36472.02,Global
AP36472,Global
AP06992,Italy
AP03804,Spain
AP07431,Spain
AP07431.24,Spain
AP07431.20,Spain
AP07431.08,Spain
AP07431.19,Spain
AP07431.07,Spain
AP07431.18,Spain
AP07431.09,Spain
AP07431.16,Spain
AP07431.17,Spain
AP07431.01,Spain
AP07431.04,Spain
AP07431.02,Spain
AP07431.03,Spain
AP07431.12,Spain
AP07431.21,Spain
AP07431.22,Spain
AP07431.23,Spain
AP07431.10,Spain
AP07431.15,Spain
AP07431.13,Spain
AP07431.11,Spain
AP36255,Spain
AP35834.02,Colombia
AP13171,Italy
DD00044,Global
DD00044.03,Greece
DD00044.02,Italy
DD00044.01,Romania
AP29612,Global
AP36090,Global
AP36090.01,Global
AP15092,Spain
AP06161.25,Italy
IT06177,Chile
IT02563,Italy
AP36376,Brazil
AP02194,Spain
AP36629,Global
AP36341,India
AP29371,Spain
AP08211.02,Global
AP08211,Global
AP08211.01,Global
AP08211.03,Global
AP36576,Italy
AP36556,Spain
AP08211.05,Global
AP08211.04,Global
AP36379,Global
AP35771,Global
AP36347,Italy
SO00220,Global
AP04466,Peru
AP04466.02,Peru
AP04466.03,Peru
AP04466.01,Peru
AP04466.04,Peru
AP25813,Brazil
AP36498,Global
AP36488,Global
AP36495,Global
AP36497,Global
AP26651,Romania
AP36491,Global
AP36308,Global
AP36494,Global
AP36492,Global
AP36499,Global
AP36496,Global
AP36489,Global
AP36493,Global
AP36490,Global
AP12554,Global
AP15391,Colombia
AP36123.14,Global
AP17091,Italy
AP25951.01,Spain
AP36147,Colombia
AP06591,Chile
AP06591.01,Chile
AP31691,Italy
IT06082,Portugal
IT06082,Spain
DD00070,Global
DD00070.03,Global
DD00070.02,Italy
DD00070.01,Romania
DD00070.04,Spain
AP35755,Spain
AP35755.01,Spain
AP35755.02,Spain
AP36720,Global
AP35150,Global
AP36757,Brazil
AP31851.02,Italy
AP30233,Italy
AP36478,Peru
AP36478,Colombia
AP36478,Panama
AP36478,Costa Rica
AP36478,Guatemala
AP05711,Spain
AP36373,Italy
AP36373.01,Italy
AP35895,Global
AP35080,Global
AP36456.01,Global
AP35008,Global
AP36456,Global
AP04692.03,Global
AP04696.06,Global
AP04697.03,Global
AP04697.02,Global
AP36648,Spain
AP36086,Guatemala
IT06021.01,Global
IT00527.01,Italy
IT03801.01,Italy
AP04916,Italy
AP36428,Brazil
AP35010.10,Global
AP31771,Brazil
AP35982,Global
AP05669,Argentina
AP05195,Italy
AP05195,Romania
AP05195,Spain
AP05195,Colombia
AP05195,Chile
AP05663,Peru
AP36599,Global
IT02301,Global
AP35884,Italy
AP02260,Spain
AP35665,Global
AP36323.03,Brazil
AP36312.28,Brazil
AP36312.27,Brazil
AP04030.06,Spain
AP02282,Spain
AP02282.05,Spain
AP02282.01,Spain
AP36823,Spain
AP04415.39,Global
AP35120,Spain
IT06021,Global
IT00527,Italy
IT06021.02,Portugal
IT06021.02,Spain
AP09432,Global
AP31961,Global
AP31923.03,Global
AP31923.01,Global
AP31923.02,Global
AP31923,Global
AP36723,Brazil
AP36730,Costa Rica
IT05820,Spain
AP06419,Spain
IT05732,Portugal
IT05732,Spain
AP29012,Spain
AP36146,Italy
AP04697,Global
SO00218,Italy
AP04026.16,Italy
AP36736,Peru
AP28151,Brazil
IT06082.03,Portugal
IT06082.03,Spain
AP01901,Peru
AP11291,Global
IT05873,Peru
AP04550.01,Italy
AP06068.04,Colombia
AP25951.02,Spain
AP08251.15,Italy
AP08251.22,Italy
AP08251.17,Global
AP08251.13,Brazil
AP08251.16,Global
AP08251.18,Colombia
AP08251.06,Italy
AP08251.03,Spain
AP08251.08,Spain
AP08251.27,Italy
AP08251.01,Italy
AP20731.01,Italy
AP20731,Italy
AP08251.26,Italy
AP08251.02,Italy
AP08251.14,Italy
AP08251.21,Italy
AP20711.04,Italy
AP20711,Italy
AP20711.01,Italy
AP20711.02,Italy
AP20711.03,Italy
AP08251.28,Italy
AP22471,Italy
AP08251.19,Peru
AP08251.23,Italy
AP08251.09,Romania
AP08251.04,Romania
AP08251.05,Romania
AP08251.07,Romania
AP35975,Argentina
AP35788,United States of America
AP35788,Canada
AP35788,USA
AP36673,Colombia
IT05872,Peru
IT06089,Chile
IT05874,Peru
AP04971.01,Italy
AP35590,Global
AP05488,Global
AP03937.02,Argentina
AP03937.06,Argentina
AP03937.04,Argentina
AP03937.07,Argentina
AP03937,Argentina
AP09171,Spain
AP09171,Portugal
AP09171.02,Portugal
AP09171.02,Spain
AP09171.01,Portugal
AP09171.01,Spain
AP35960,Italy
AP35877,Global
AP08171,Global
AP06161.05,Global
AP03829,Colombia
AP36091,Italy
AP08151,Romania
AP08151.01,Romania
IT04281.02,Italy
AP36504,Peru
AP09771.01,Spain
AP35631,Brazil
AP36827,Global
AP04061.01,Romania
AP10371.03,Italy
AP36079,Brazil
AP36524,Italy
AP36542,United States of America
AP36542,Canada
AP06161.03,Italy
AP36312.20,Chile
AP35709.07,Chile
AP36312.21,Chile
AP36323.04,Chile
AP36312.19,Chile
AP36312.18,Chile
AP16531,Italy
AP36699,Global
AP05067,Spain
AP36248,Romania
AP04351,Spain
AP03541.01,Portugal
AP03541.01,Spain
AP36604,Spain
IT05897.40,Spain
DD00069,Global
AP04916.01,Italy
AP36520,Spain
AP06420,Spain
AP04271,Spain
AP27611,Global
AP02212.01,Spain
AP02212.02,Spain
AP23451,Spain
AP23451.01,Spain
AP23451.02,Spain
AP08251,Global
AP08251.20,Italy
AP06161.17,Global
AP31531,Global
AP36532,Global
AP05469,Brazil
AP03830,Colombia
IT05733,Spain
AP03831,Brazil
AP06512.04,Italy
AP29611,Global
AP29611.02,Global
AP29611.01,Global
AP29611.03,Global
AP36336,Global
AP35010.04,Global
IT05802,Portugal
IT05802,Spain
IT00437,Italy
AP02241.01,Italy
AP35709.04,Colombia
AP36323.05,Colombia
AP36312.15,Colombia
AP36312.14,Colombia
AP03957,Brazil
SO00161,Global
AP36088,Italy
IT00431,Italy
DD00068,Global
AP17911,Global
AP35847,Global
AP36319,Global
AP05892,Spain
DD00087,Global
AP36168,Global
AP36168.01,Global
AP36168.02,Global
AP35739,Global
DD00031,Global
AP32452.06,Global
AP36230,Romania
AP04020.01,Italy
AP04334,Global
AP35999,Global
AP09091.67,Argentina
AP09091.67,Brazil
AP09091.67,Chile
AP09091.67,Colombia
AP09091.67,Peru
AP04919.67,Italy
AP04919.67,Romania
AP04919.67,Spain
AP04919.68,Spain
AP04919.69,Romania
AP04761.E2,Global
AP04754.O3,Global
AP04334.01,Global
AP04334.03,Global
AP04334.04,Global
AP16832,Italy
AP35010,Global
AP35010.06,Global
AP36002,Global
AP28932,Brazil
AP02196,Spain
AP06418.01,Spain
IT05880,Portugal
IT05880,Spain
AP31911,Global
AP31911.02,Global
SO00225,Italy
AP15271,Colombia
AP35043,Spain
AP35043.01,Spain
AP04696,Global
SO00197,Italy
IT05803,Peru
AP04020,Italy
AP06533,Spain
AP35619,United States of America
AP35619,USA
AP08871,Romania
AP08871.04,Romania
AP08871.01,Romania
AP08871.05,Romania
AP08871.02,Romania
AP08871.03,Romania
SO00073,Global
AP31652.03,Global
AP36037,Global
AP01924,Romania
AP04125.02,Spain
AP36060,Argentina
AP36343,Argentina
AP36732,Costa Rica
IT05990.05,Portugal
IT05990.05,Spain
DD00101,Global
AP27611.02,Global
SO00230,Italy
DD00037.01,Global
AP35048,Brazil
IT06150.02,Brazil
AP04399,Italy
AP18091,Italy
AP04288,Italy
AP36815,USA
AP36815,Canada
AP29632,Italy
AP29632.03,Italy
AP29632.01,Italy
AP29632.02,Italy
AP29633,Italy
AP29633.02,Italy
AP29633.03,Italy
AP29633.01,Italy
IT02801,Global
AP28531,Global
AP35742,Global
AP31652.06,Global
AP35721,Global
SO00032,Italy
AP04697.01,Global
AP36323.06,Costa Rica
DD00079,Global
SO00107,Italy
SO00107,United States of America
AP35653,Chile
AP36295,Global
AP06172,Italy
AP36597,Brazil
AP05375,Italy
AP05375,USA
SO00195,Italy
SO00195,USA
DD00081,Global
AP07872.18,Italy
IT04941.19,Italy
AP05560,Italy
IT01241.02,Italy
AP10132,Italy
AP35529,Italy
IT06028.02,Romania
IT06028.03,Romania
AP03584.01,France
AP04552.12,Spain
AP04552.12,Portugal
AP04552.12,France
AP04552.10,Spain
AP04552.10,Portugal
AP04552.10,France
AP04552.16,Spain
AP04552.16,Portugal
AP04552.16,France
AP04552.13,Spain
AP04552.13,Portugal
AP04552.13,France
AP04552.21,Spain
AP04552.15,Spain
AP04552.15,Portugal
AP04552.15,France
AP04552.04,Spain
AP04552.04,Portugal
AP04552.04,France
AP04552.02,Spain
AP04552.02,Portugal
AP04552.02,France
AP04552.22,Spain
AP04552.22,Portugal
AP04552.22,France
AP32533,Netherlands
AP32533,Germany
AP04552.09,Spain
AP04552.09,Portugal
AP04552.09,France
AP04552.14,Spain
AP04552.14,Portugal
AP04552.14,France
AP04552.07,Portugal
AP04552.20,Spain
AP04552.11,Spain
AP04552.11,Portugal
AP04552.11,France
AP36627,United States of America
AP04552.08,Portugal
AP04552.01,Spain
AP04552,Spain
AP04552,Portugal
AP04552,France
AP19631.07,Global
AP19631.08,Global
IT06028,Romania
AP19631.11,Global
AP19631,Global
AP36132,USA
AP36457,Global
AP01915,Romania
AP07213.02,Guatemala
AP07213.01,Panama
AP07213.03,Mexico
IT00204,Italy
AP07213,Mexico
AP07213,Panama
AP07213,Guatemala
AP05113,Italy
AP05113.01,Italy
AP05113.04,Italy
AP03937.11,Argentina
AP03937.10,Argentina
AP04528.01,Romania
AP04526.01,Italy
AP36755,Global
IT06028.01,Romania
AP35537,Brazil
AP04125.01,Spain
AP03996,Spain
AP05029,Spain
AP27051,Romania
AP36562,Global
AP35024,Global
AP36534,Global
AP25051,Global
AP07132,Global
AP09712,Italy
AP09712,Spain
AP09712,Peru
AP09712,Panama
AP09712,Guatemala
AP09712,Mexico
AP09712,Colombia
AP09712,Costa Rica
AP09712,Brazil
AP09712,Chile
AP09712,Argentina
AP09712,Greece
AP09712,South Africa
AP09712,Romania
AP14071,Global
AP01789,Spain
AP03907,Brazil
AP03906,Chile
AP03904,Peru
DD00103,Global
SO00262,Global
IT07181,Italy
AP36052,Chile
AP04767,Argentina
AP04768,Brazil
AP04764,Chile
AP05232,Peru
AP03862,Brazil
AP13534,Brazil
AP13534.01,Brazil
AP04000.02,Italy
SO00147,Global
SO00203,Italy
AP22551,Spain
AP13591,Global
AP04404.01,Global
AP06072.04,Global
AP36740,Global
SO00155,Global
AP36594.01,Global
AP10911.01,Global
AP35844,Spain
AP35994,Global
AP07931.04,Global
DD00059,Global
DD00016,Global
DD00018,Global
DD00017,Global
DD00015,Global
AP12731,Global
AP35997,Global
AP07931.01,Global
AP36048,Global
AP07931,Global
AP32452.05,Global
DD00017.02,Global
DD00015.01,Global
DD00015.02,Global
AP36378,Mexico
AP35570,Colombia
AP35570,Chile
AP35570,Brazil
AP35682,Brazil
AP35682.01,Brazil
AP02260.01,Spain
AP06477,Italy
AP06478,Italy
AP05856,Argentina
AP22831,Brazil
AP01779,Chile
AP01808,Colombia
AP03930,Peru
AP03929,Brazil
AP22891,Brazil
AP35844.03,Spain
IT02161,Italy
AP36725,Italy
IT00192,Italy
AP07231.03,Italy
AP07231.06,Italy
AP07231.19,Italy
AP07231.07,Italy
AP04704,Global
AP15811,Italy
AP17191,Italy
AP17192,Italy
AP01890,Italy
AP36216,Spain
AP36543,Global
AP35826,Chile
AP35826,Colombia
AP35826,Argentina
AP35826,Peru
AP06066,Romania
AP36195,Spain
AP04627,Italy
AP04627.40,Italy
AP04627.14,Italy
AP04627.34,Italy
AP04627.38,Italy
AP04627.16,Italy
AP04627.08,Italy
AP04627.18,Italy
AP04627.36,Italy
AP04627.35,Italy
AP04627.21,Italy
AP04627.22,Italy
AP04627.23,Italy
AP04627.24,Italy
AP04627.30,Italy
AP04627.39,Italy
AP04627.27,Italy
AP04627.26,Italy
AP04627.33,Italy
AP04627.37,Italy
AP36065,Chile
AP27671,Italy
AP35645,Italy
AP36551,Global
AP01927,Romania
IT05990.08,Spain
AP36461,Spain
AP06091,Global
AP06091.05,Global
AP06091.04,Global
AP06091.06,Global
AP04023.01,Italy
AP35943,Brazil
AP07614,Italy
AP36601,United Kingdom
AP02215.01,Spain
AP02215.03,Spain
AP02215.05,Spain
AP02215.04,Spain
AP02215,Spain
AP02215.02,Spain
AP05875,Spain
AP19271,Italy
AP36519,Argentina
IT04283.07,Italy
